date,site,observer,start_time,end_time,tide_height_at_sampling_time,effective_tide_height,scientific_name,description,life_stage,disease_status,size_class,count,entered_by,checked_by,notes
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,1,NA,2,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,4,NA,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus droebachiensis,Green urchin,NA,0,15,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus droebachiensis,Green urchin,NA,0,20,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus purpuratus,Purple urchin,NA,0,20,5,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus purpuratus,Purple urchin,NA,0,30,2,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus purpuratus,Purple urchin,NA,0,40,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus purpuratus,Purple urchin,NA,0,60,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Strongylocentrotus purpuratus,Purple urchin,NA,0,NA,3,GSB,TF,NA
2018-05-21,North Beach,KH/ZM/GSB/DVM/TP,12:40:00,14:30:00,0.8,NA,Cryptochiton stelleri,Gumboot chiton,NA,0,80,1,GSB,TF,NA
2018-05-21,North Beach,KH/ZM/GSB/DVM/TP,12:40:00,14:30:00,0.8,NA,Cryptochiton stelleri,Gumboot chiton,NA,0,90,1,GSB,TF,NA
2018-05-21,North Beach,KH/ZM/GSB/DVM/TP,12:40:00,14:30:00,0.8,NA,Cryptochiton stelleri,Gumboot chiton,NA,0,100,4,GSB,TF,NA
2018-05-21,North Beach,KH/ZM/GSB/DVM/TP,12:40:00,14:30:00,0.8,NA,Cryptochiton stelleri,Gumboot chiton,NA,0,110,3,GSB,TF,NA
2018-05-21,North Beach,KH/ZM/GSB/DVM/TP,12:40:00,14:30:00,0.8,NA,Cryptochiton stelleri,Gumboot chiton,NA,0,120,4,GSB,TF,NA
